Date,Name,Status, Effort 
03-01-2023,Employee 03,Billable, 4.500 
03-01-2023,Employee 05,Billable, 6.167 
03-01-2023,Employee 07,Billable, 10.500 
03-01-2023,Employee 08,Billable, 6.250 
03-01-2023,Employee 10,Billable, 0.667 
03-01-2023,Employee 12,Non-Billable, 7.000 
03-01-2023,Employee 13,Non-Billable, 7.500 
03-01-2023,Employee 14,Billable, 7.500 
03-01-2023,Employee 15,Non-Billable, 8.000 
03-01-2023,Employee 17,Non-Billable, 6.000 
03-01-2023,Employee 20,Billable, 6.750 
03-01-2023,Employee 21,Billable, 9.000 
03-01-2023,Employee 23,Billable, 1.000 
03-01-2023,Employee 24,Billable, 7.333 
03-01-2023,Employee 24,Non-Billable, 0.667 
03-01-2023,Employee 26,Non-Billable, 6.000 
03-01-2023,Employee 28,Non-Billable, 7.000 
03-01-2023,Employee 29,Non-Billable, 7.750 
03-01-2023,Employee 30,Billable, 9.500 
04-01-2023,Employee 03,Billable, 7.000 
04-01-2023,Employee 05,Billable, 7.400 
04-01-2023,Employee 07,Billable, 9.000 
04-01-2023,Employee 08,Billable, 10.000 
04-01-2023,Employee 09,Billable, 2.000 
04-01-2023,Employee 12,Non-Billable, 7.000 
04-01-2023,Employee 13,Non-Billable, 8.000 
04-01-2023,Employee 14,Billable, 7.500 
04-01-2023,Employee 15,Non-Billable, 8.000 
04-01-2023,Employee 17,Non-Billable, 6.000 
04-01-2023,Employee 20,Billable, 8.583 
04-01-2023,Employee 21,Billable, 9.000 
04-01-2023,Employee 22,Billable, 7.000 
04-01-2023,Employee 23,Billable, 1.000 
04-01-2023,Employee 24,Billable, 8.000 
04-01-2023,Employee 26,Non-Billable, 6.000 
04-01-2023,Employee 28,Non-Billable, 6.000 
04-01-2023,Employee 29,Non-Billable, 7.250 
04-01-2023,Employee 30,Billable, 8.250 
05-01-2023,Employee 03,Billable, 10.000 
05-01-2023,Employee 05,Billable, 6.000 
05-01-2023,Employee 07,Billable, 7.250 
05-01-2023,Employee 08,Billable, 9.167 
05-01-2023,Employee 12,Non-Billable, 6.000 
05-01-2023,Employee 14,Billable, 8.000 
05-01-2023,Employee 15,Non-Billable, 7.000 
05-01-2023,Employee 17,Non-Billable, 6.000 
05-01-2023,Employee 20,Billable, 6.583 
05-01-2023,Employee 21,Billable, 10.000 
05-01-2023,Employee 22,Billable, 7.500 
05-01-2023,Employee 23,Billable, 1.000 
05-01-2023,Employee 24,Billable, 8.000 
05-01-2023,Employee 25,Billable, 7.583 
05-01-2023,Employee 26,Non-Billable, 5.000 
05-01-2023,Employee 28,Non-Billable, 7.000 
05-01-2023,Employee 29,Billable, 4.500 
05-01-2023,Employee 29,Non-Billable, 3.000 
05-01-2023,Employee 30,Billable, 8.250 
06-01-2023,Employee 03,Billable, 7.000 
06-01-2023,Employee 05,Billable, 6.000 
06-01-2023,Employee 07,Billable, 6.500 
06-01-2023,Employee 08,Billable, 11.833 
06-01-2023,Employee 12,Non-Billable, 7.500 
06-01-2023,Employee 14,Billable, 8.500 
06-01-2023,Employee 15,Non-Billable, 7.000 
06-01-2023,Employee 17,Non-Billable, 7.000 
06-01-2023,Employee 20,Billable, 8.750 
06-01-2023,Employee 21,Billable, 8.917 
06-01-2023,Employee 22,Billable, 8.000 
06-01-2023,Employee 23,Billable, 1.000 
06-01-2023,Employee 24,Billable, 11.000 
06-01-2023,Employee 25,Billable, 8.167 
06-01-2023,Employee 26,Non-Billable, 5.500 
06-01-2023,Employee 28,Non-Billable, 6.500 
06-01-2023,Employee 29,Billable, 0.500 
06-01-2023,Employee 29,Non-Billable, 8.000 
06-01-2023,Employee 30,Billable, 8.000 
08-01-2023,Employee 08,Billable, 7.083 
09-01-2023,Employee 03,Billable, 7.000 
09-01-2023,Employee 05,Billable, 6.667 
09-01-2023,Employee 07,Billable, 5.000 
09-01-2023,Employee 07,Non-Billable, 2.500 
09-01-2023,Employee 08,Billable, 0.500 
09-01-2023,Employee 12,Non-Billable, 7.500 
09-01-2023,Employee 14,Billable, 7.000 
09-01-2023,Employee 15,Non-Billable, 8.000 
09-01-2023,Employee 17,Non-Billable, 6.000 
09-01-2023,Employee 20,Non-Billable, 7.500 
09-01-2023,Employee 21,Billable, 8.000 
09-01-2023,Employee 22,Billable, 7.000 
09-01-2023,Employee 23,Billable, 1.000 
09-01-2023,Employee 24,Billable, 8.000 
09-01-2023,Employee 25,Billable, 7.750 
09-01-2023,Employee 26,Non-Billable, 5.000 
09-01-2023,Employee 28,Non-Billable, 5.000 
09-01-2023,Employee 29,Non-Billable, 8.250 
09-01-2023,Employee 30,Billable, 9.000 
10-01-2023,Employee 03,Billable, 10.000 
10-01-2023,Employee 05,Billable, 6.450 
10-01-2023,Employee 07,Billable, 7.500 
10-01-2023,Employee 07,Non-Billable, 2.000 
10-01-2023,Employee 08,Billable, 5.250 
10-01-2023,Employee 09,Billable, 0.500 
10-01-2023,Employee 12,Non-Billable, 6.000 
10-01-2023,Employee 13,Non-Billable, 6.500 
10-01-2023,Employee 14,Billable, 8.000 
10-01-2023,Employee 15,Non-Billable, 11.000 
10-01-2023,Employee 17,Billable, 2.000 
10-01-2023,Employee 17,Non-Billable, 4.000 
10-01-2023,Employee 20,Billable, 0.333 
10-01-2023,Employee 20,Non-Billable, 5.750 
10-01-2023,Employee 21,Billable, 9.750 
10-01-2023,Employee 22,Billable, 7.000 
10-01-2023,Employee 23,Billable, 1.000 
10-01-2023,Employee 24,Billable, 8.000 
10-01-2023,Employee 25,Billable, 7.500 
10-01-2023,Employee 26,Non-Billable, 6.500 
10-01-2023,Employee 28,Non-Billable, 5.000 
10-01-2023,Employee 29,Non-Billable, 7.750 
10-01-2023,Employee 30,Billable, 8.000 
11-01-2023,Employee 03,Billable, 10.000 
11-01-2023,Employee 05,Billable, 6.000 
11-01-2023,Employee 07,Billable, 8.500 
11-01-2023,Employee 08,Billable, 8.000 
11-01-2023,Employee 09,Billable, 1.500 
