SNo,E. Code,Name,Shift,S. InTime,S. OutTime,A. InTime,A. OutTime,Work Dur.,OT,Tot. Dur.,LateBy,EarlyGoingBy,Status,Punch Records,Date,In_Hours,Missed_swipe_ins,Missed_swipe_outs,Difference
5,1,1,GS,09:30,23:30,15:24,16:18,00:54,00:00,00:54,5:54,7:11,Absent,"15:24:in(Aidas Tech),15:24:(Aidas Tech),15:46:out(Aidas Tech),15:48:(Aidas Tech),16:18:in(Aidas Tech),",2023-01-02 00:00:00,00:22,0,2,00:32
21,00027,00027,GS,09:30,23:30,19:36,21:37,2:01,00:00,2:01,10:06,1:52, ½Present ,"19:36:in(Aidas Tech),21:05:out(Aidas Tech),21:37:in(Aidas Tech),",2023-01-02 00:00:00,01:29,0,0,00:32
5,1,1,GS,09:30,23:30,13:37,18:55,5:16,00:00,5:16,4:07,4:36,Present ,"13:37:in(Aidas Tech),13:39:(Aidas Tech),13:59:out(Aidas Tech),15:16:in(Aidas Tech),17:03:out(Aidas Tech),17:06:(Aidas Tech),17:06:(Aidas Tech),18:53:in(Aidas Tech),18:53:(Aidas Tech),18:55:(Aidas Tech),",2023-01-03 00:00:00,02:07,0,5,03:09
6,0003,0003,GS,09:30,23:30,14:01,21:29,7:28,00:00,7:28,4:31,2:00,Present ,"14:01:in(Aidas Tech),14:24:out(Aidas Tech),14:26:(Aidas Tech),15:17:in(Aidas Tech),16:21:out(Aidas Tech),16:21:(Aidas Tech),17:04:in(Aidas Tech),17:30:out(Aidas Tech),19:35:in(Aidas Tech),19:54:out(Aidas Tech),21:29:in(Aidas Tech),",2023-01-03 00:00:00,02:12,0,2,05:16
7,00005,00005,GS,09:30,23:30,12:21,21:22,9:00,00:00,9:00,2:51,2:08,Present ,"12:21:in(Aidas Tech),12:54:out(Aidas Tech),12:56:(Aidas Tech),12:56:(Aidas Tech),13:55:in(Aidas Tech),14:20:out(Aidas Tech),14:20:(Aidas Tech),17:44:in(Aidas Tech),18:21:out(Aidas Tech),18:21:(Aidas Tech),21:07:in(Aidas Tech),21:21:out(Aidas Tech),21:22:(Aidas Tech),",2023-01-03 00:00:00,01:49,0,4,07:11
8,006,006,GS,09:30,23:30,14:05,19:46,5:41,00:00,5:41,4:35,3:43,Present ,"14:05:in(Aidas Tech),14:05:(Aidas Tech),16:48:out(Aidas Tech),16:56:in(Aidas Tech),17:49:out(Aidas Tech),18:27:in(Aidas Tech),19:46:out(Aidas Tech),",2023-01-03 00:00:00,04:55,0,1,00:46
10,00007,00007,GS,09:30,23:30,10:08,18:03,7:55,00:00,7:55,00:38,5:26,Present ,"10:08:in(Aidas Tech),11:31:out(Aidas Tech),11:39:in(Aidas Tech),13:23:out(Aidas Tech),14:45:in(Aidas Tech),18:03:out(Aidas Tech),",2023-01-03 00:00:00,06:25,0,0,01:30
11,0008,0008,GS,09:30,23:30,11:15,21:00,9:42,00:00,9:42,1:45,2:32,Present ,"11:15:in(Aidas Tech),13:23:out(Aidas Tech),14:44:in(Aidas Tech),16:29:out(Aidas Tech),16:35:in(Aidas Tech),17:41:out(Aidas Tech),18:21:in(Aidas Tech),20:44:out(Aidas Tech),20:57:in(Aidas Tech),21:00:(Aidas Tech),",2023-01-03 00:00:00,07:22,0,1,02:20
12,0009,0009,GS,09:30,23:30,10:02,19:36,9:34,00:00,9:34,00:32,3:53,Present ,"10:02:in(Aidas Tech),12:05:out(Aidas Tech),12:10:(Aidas Tech),13:23:in(Aidas Tech),14:44:out(Aidas Tech),16:12:in(Aidas Tech),16:17:out(Aidas Tech),16:17:(Aidas Tech),17:14:in(Aidas Tech),17:15:(Aidas Tech),17:41:out(Aidas Tech),18:19:in(Aidas Tech),19:36:out(Aidas Tech),",2023-01-03 00:00:00,05:12,0,3,04:22
13,010,010,GS,09:30,23:30,09:56,18:02,8:06,00:00,8:06,00:26,5:27,Present ,"09:56:in(Aidas Tech),10:07:out(Aidas Tech),10:07:(Aidas Tech),13:08:in(Aidas Tech),13:38:out(Aidas Tech),13:38:(Aidas Tech),14:43:in(Aidas Tech),14:45:(Aidas Tech),16:20:out(Aidas Tech),16:26:in(Aidas Tech),18:02:out(Aidas Tech),",2023-01-03 00:00:00,03:52,0,3,04:14
